id_cidade,cidade,uf
1,NÃO INFORMADO,AM
2,ARACAJU,BA
3,CAMACARI,BA
4,LAURO DE FREITAS,BA
5,SALVADOR,BA
6,ANANINDEUA,CE
7,NÃO INFORMADO,CE
8,PARAUAPEBAS,CE
9,SALVADOR,CE
10,AGUAS CLARAS,DF
11,BRASILIA,DF
12,BRASILIA NORTE,DF
13,CEILÂNDIA,DF
14,CEILÂNDIA SUL,DF
15,JARDIM BOTÂNICO,DF
16,MESTRE DARMAS,DF
17,SIA,DF
18,GOIANIA,GO
19,GOIANIA - GO,GO
20,GOIANIA AV PORTUGAL,GO
21,GOIANIA AV. INDEPENDENCIA,GO
22,GOIANIA BR,GO
23,GOIANIA PERIMETRAL,GO
24,GOIANIA SUL,GO
25,GOIÂNIA INDEPENDÊNCIA,GO
26,GOIÂNIA PERIMETRAL,GO
27,LOJA SIA / SETOR INDUSTRIAL,GO
28,LUZIANIA,GO
29,LUZIÂNIA,GO
30,RIO VERDE,GO
31,SANTO ANTÔNIO DO DESCOBERTO,GO
32,SOLAR DE CALDAS NOVAS,GO
33,T-9,GO
34,BACABAL,MA
35,IMPERATRIZ,MA
36,NÃO INFORMADO,MA
37,SANTA INÊ,MA
38,SAO LUIS,MA
39,TIMON,MA
40,BELO HORIZONTE,MG
41,CONTAGEM,MG
42,MONTES CLAROS,MG
43,CAMPO GRANDE,MS
44,JARDIM PARATI,MS
45,BARRA DO GARÇA,MT
46,CUIABA,MT
47,ANANINDEUA,PA
48,BELEM,PA
49,MARABA,PA
50,NÃO INFORMADO,PA
51,PARAUAPEBAS,PA
52,NÃO INFORMADO,PE
53,OLINDA,PE
54,PAULISTA,PE
55,RECIFE,PE
56,SALVADOR,PI
57,ALMIRANTE TAMANDARE,PR
58,ALMIRANTE TAMANDARÉ,PR
59,APUCARANA,PR
60,ARAPONGAS,PR
61,ARAUCARIA,PR
62,ARAUCÁRIA,PR
63,CAMPO MAGRO,PR
64,CARAPICUIBA,PR
65,CASTRO,PR
66,COLOMBO,PR
67,CURITIBA,PR
68,DOIS VIZINHOS,PR
69,ENEAS MARQUES,PR
70,FAZENDA RIO GRANDE,PR
71,FOZ DO IGUAÇU,PR
72,FRANCISCO BELTRAO,PR
73,FRANCISCO BELTRÃO,PR
74,GUARAPUAVA,PR
75,IBIPORÃ,PR
76,IPANEMA,PR
77,IRATI,PR
78,ITAPEJARA D'OESTE,PR
79,JARDIM AMELIA,PR
80,LONDRINA,PR
81,MARIALVA,PR
82,MARINGÁ,PR
83,MARMELEIRO,PR
84,NOVA LONDRINA,PR
85,NÃO INFORMADO,PR
86,PAULA FREITAS,PR
87,PAULO FRONTIN,PR
88,PINHAIS,PR
89,PIRAQUARA,PR
90,PONTA GROSSA,PR
91,PONTAL DO PARANÁ,PR
92,PRIMEIRO DE MAIO,PR
93,RIO NEGRO,PR
94,ROLÂNDIA,PR
95,SERTANÓPOLIS,PR
96,SÃO JORGE D'OESTE,PR
97,SÃO JOSÉ DOS PINHAIS,PR
98,TATUQUARA,PR
