cidade,uf
CURITIBA,PR
SÃO PAULO,SP
SANTO AMARO,SP
CACHOEIRA DO SUL,RS
APUCARANA,PR
FRANCISCO BELTRÃO,PR
MARMELEIRO,PR
GRAVATAÍ,RS
ALVORADA,RS
FOZ DO IGUAÇU,PR
LONDRINA,PR
TUBARÃO,SC
BRUSQUE,SC
SÃO LUDGERO,SC
PORTO ALEGRE,RS
MARINGÁ,PR
CONCÓRDIA,SC
MOGI DAS CRUZES,SP
ITAJAÍ,SC
CAMPINAS,SP
BAGÉ,RS
PONTA GROSSA,PR
XANGRI-LÁ,RS
CAPÃO DA CANOA,RS
SÃO JOÃO BATISTA,SC
CAMBORIÚ,SC
ITAPEMA,SC
BALNEÁRIO CAMBORIÚ ,SC
LUZERNA,SC
JOAÇABA,SC
CHAPECÓ,SC
CAXIAS DO SUL,RS
INDAIAL,SC
POMERODE,SC
RIO DOS CEDROS,SC
TIMBÓ,SC
VIAMÃO,RS
COLOMBO,PR
JOINVILLE,SC
NÃO INFORMADO,PR
PIRAQUARA,PR
IÇARA,SC
CRICIÚMA,SC
CANOAS,RS
PENHA,SC
BALNEÁRIO PIÇARRAS,SC
MALLET,PR
PAULA FREITAS,PR
PAULO FRONTIN,PR
PORTO UNIÃO,SC
SAPUCAIA DO SUL,RS
SÃO LEOPOLDO,RS
ESTEIO,RS
BIGUAÇU,SC
BIGUACU,SC
CAMBÉ,PR
JARAGUÁ DO SUL,SC
JARAGUA DO SUL-SC,SC
PORTO BELO,SC
BOMBINHAS,SC
CASCAVEL,PR
BALNEÁRIO CAMBORIÚ,SC
SEARA,SC
BRASILIA,DF
SIA,DF
VARZEA GRANDE,MT
BARRA VELHA,SC
SÃO JOSÉ DOS CAMPOS,SP
SAO JOSE DOS CAMPOS,SP
ARARANGUÁ,SC
CAMPO LARGO,PR
PASSO FUNDO,RS
TRAMANDAÍ,RS
IMBÉ,RS
CIDREIRA,RS
TIJUCAS,SC
ITAQUAQUECETUBA,SP
SANTA MARIA,RS
IRATI,PR
PALHOÇA,SC
SOMBRIO,SC
RIO DE JANEIRO,RJ
CACHOEIRINHA,RS
SÃO JOSÉ DOS PINHAIS,PR
SÃO JOSÉ,SC
GUARAMIRIM,SC
JAGUARUNA,SC
TUBARAO,SC
PAROBÉ,RS
SAPIRANGA,RS
FRAIBURGO,SC
NOVA IGUAÇU,RJ
NAVEGANTES,SC
GASPAR,SC
SANTA TEREZINHA,SC
BLUMENAU,SC
GOVERNADOR CELSO RAMOS,SC
BALNEARIO CAMBORIU,SC
ILHOTA,SC
PARANAGUÁ,PR
JARDIM AMELIA,PR
ARAQUARI,SC
FLORIANÓPOLIS,SC
FLORIANOPOLIS,SC
GUAIANASES,SP
FORQUILHINHA,SC
TORRES,RS
NOVO HAMBURGO,RS
BALNEARIO PINHAL,RS
BALNEÁRIO PINHAL,RS
MONTENEGRO,RS
SÃO BENTO DO SUL,SC
SÃO FRANCISCO DO SUL,SC
GUARAPUAVA,PR
PELOTAS,RS
ITAQUERA,SP
IBIPORÃ,PR
CASTRO,PR
ALMIRANTE TAMANDARÉ,PR
ALMIRANTE TAMANDARE,PR
MAFRA,SC
RIO NEGRO,PR
RIO NEGRO,SC
ARAUCÁRIA,PR
UNIÃO DA VITÓRIA,PR
PINHAIS,PR
FAZENDA RIO GRANDE,PR
ARAUCARIA,PR
TATUQUARA,PR
CAMPO MAGRO,PR
DOIS VIZINHOS,PR
ITAPEJARA D'OESTE,PR
SÃO JORGE DO OESTE,PR
SÃO JORGE D'OESTE,PR
CAPIVARI DE BAIXO,SC
LAGUNA,SC
ROLÂNDIA,PR
ARAPONGAS,PR
TOLEDO,PR
COCAL DO SUL,SC
BALNEÁRIO GAIVOTA,SC
BALNEÁRIO ARROIO DO SILVA,SE
BALNEÁRIO ARROIO DO SILVA,SC
RIO GRANDE,RS
SANTA CRUZ DO SUL,RS
SANTA CRUZ DO SUL ,RS
MANDAGUARI,PR
MARIALVA,PR
MAUÁ DA SERRA,PR
TELEMACO BORBA,PR
PRIMEIRO DE MAIO,PR
SERTANÓPOLIS,PR
VILA SANTA TEREZINHA,PR
FRANCISCO BELTRAO,PR
ENEAS MARQUES,PR
NOVA LONDRINA,PR
GUABIRUBA,SC
PELOTAS ,RS
LAGES,SC
IMBITUBA,SC
GAROPABA,SC
ORLEANS,SC
BRAÇO DO NORTE,SC
LAURO MÜLLER,SC
BRACO DO NORTE,SC
RIO DO SUL,SC
BELEM,RO
ANANINDEUA,CE
BELÉM,CE
NÃO INFORMADO,PA
NÃO INFORMADO,MA
PARAUAPEBAS,CE
NÃO INFORMADO,RR
NÃO INFORMADO,CE
IMPERATRIZ,MA
BACABAL,MA
SAO LUIS,MA
SANTA INÊ,MA
TIMON,MA
SAO JOSE DE RIBAMAR,MA
BELEM,PA
ANANINDEUA,PA
MARABA,PA
PARAUAPEBAS,PA
CANELINHA,SC
CAPINZAL,SC
CATANDUVAS,SC
HERVAL DOESTE,SC
IBIRAMA,SC
PRESIDENTE GETÚLIO,SC
LAURENTINO,SC
LONTRAS,SC
RODEIO,SC
TIMBO,SC
RIO NEGRINHO,SC
S]AO BENTO DO SUL,SC
XAXIM,SC
ERECHIM,RS
CAÇADOR,SC
CURITIBANOS,SC
TREZE TÍLIAS,SC
XANXERÊ,SC
PONTE SERRADA,SC
SÃO MIGUEL DO OESTE,SC
SÃO MIGUEL  DO OESTE,SC
SANTA CATARINA,SC
CAMPOS NOVOS SC,SC
SÃO LOURENÇO DO OESTE,SC
IRANI,SC
MARAVILHA,SC
CAÇADOR ,SC
PINHALZINHO,SC
PINHALZINHO ,SC
FAXINAL DOS GUEDES,SC
VARGEÃO,SC
VIDEIRA,SC
CORONEL FREITAS,SC
ANÁPOLIS,GO
GOIANIA SUL,GO
T-9,GO
APARECIDA DE GOIANIA,GO
CEILÂNDIA,DF
CEILÂNDIA CENTRO,DF
CEILÂNDIA SUL,DF
JARDIM BOTÂNICO,DF
LOJA SIA / SETOR INDUSTRIAL,GO
LUZIÂNIA,GO
MESTRE DARMAS,DF
PLANALTINA,DF
SANTO ANTÔNIO DO DESCOBERTO,GO
BRASILIA NORTE,DF
GOIANIA AV PORTUGAL,GO
GOIÂNIA BURITI,GO
GOIÂNIA INDEPENDÊNCIA,GO
GOIÂNIA PERIMETRAL,GO
GOIÂNIA T9,GO
APARECIDA DE GOIÂNIA,GO
BARRA DO GARÇA,MT
SOLAR DE CALDAS NOVAS,GO
GOIÂNIA,GO
GOIANIA AV. INDEPENDENCIA,GO
GOIANIA BR,GO
GOIANIA FLAMBOYANT,GO
GOIANIA PERIMETRAL,GO
TRINDADE ROMEIROS,GO
AGUAS CLARAS,DF
GOIANIA - GO,GO
LUZIANIA,GO
RIO VERDE,GO
GOIANIA,GO
CAMPO GRANDE,MS
JARDIM PARATI,MS
CUIABA,MT
SALVADOR,TO
MONTES CLAROS,MG
BELO HORIZONTE,MG
TAUBATÉ,SP
CARAPICUIBA,PR
SUZANO,SP
SÃO MATEUS DO SUL,PR
BENTO GONÇALVES,RS
FARROUPILHA,RS
LAJEADO,RS
SANTANA DO LIVRAMENTO,RS
URUGUAIANA,RS
SOLEDADE,RS
VENÂNCIO AIRES,RS
TEUTÔNIA,RS
SANTA CRUZ,RS
SAO JOAO DE MERITI,RJ
SAO GONCALO,RJ
BELFORD ROXO,RJ
SÃO GONÇALO,RJ
NITEROI,RJ
RESENDE,RJ
MESQUITA,RJ
SÃO JOÃO DE MERITI,RJ
VOLTA REDONDA,RJ
 NITEROI,RJ
ILHA DO GOVERNADOR,RJ
CAXIAS DO SUL ,RS
TREZE DE MAIO,SC
SANGÃO,SC
TAQUARA,RS
CAMPO BOM,RS
PONTAL DO PARANÁ,PR
IPANEMA,PR
ARACAJU,RN
ARACAJU,RO
NÃO INFORMADO,BA
ITABAIANA,RN
SALVADOR,BA
SALVADOR,SE
ARACAJU,BA
NÃO INFORMADO,PB
LAURO DE FREITAS,TO
NÃO INFORMADO,AM
NÃO INFORMADO,PE
SALVADOR,CE
SALVADOR,PI
CAMAÇARI,BA
CAMACARI,BA
LAURO DE FREITAS,BA
ARACAJU,SE
NOSSA SRA DA GLÓRIA,SE
SÃO JOSE,SE
ITABAIANA,SE
NOSSA SENHORA DA GLORIA,SE
NOSSA SENHORA DO SOCORRO,SE
FARROUPILHA ,RS
NÃO INFORMADO,RN
OLINDA,RN
PAULISTA,PE
OLINDA,PE
RECIFE,PE
CONTAGEM,MG
BETIM,MG
MAUÁ,SP
ATICANDUVA,SP
GUARULHOS,SP
SANTO ANDRE,SP
SANTO ANDRÉ,SP
NÃO INFORMADO,SP
SÃO PAULO - SP,SP
CIDADE DUTRA,SP
PALHEIROS,SP
CARAPICUIBA,SP
TAMBORÉ,SP
ROLANDIA,PR
CENTRO,RS
OSASCO,SP
