uf,nome_estado,regiao
AM,Amazonas,Norte
BA,Bahia,Nordeste
CE,Ceará,Nordeste
DF,Distrito Federal,Centro-Oeste
GO,Goiás,Centro-Oeste
MA,Maranhão,Nordeste
MG,Minas Gerais,Sudeste
MS,Mato Grosso do Sul,Centro-Oeste
MT,Mato Grosso,Centro-Oeste
PA,Pará,Norte
PE,Pernambuco,Nordeste
PI,Piauí,Nordeste
PR,Paraná,Sul
RJ,Rio de Janeiro,Sudeste
RN,Rio Grande do Norte,Nordeste
RO,Rondônia,Norte
RR,Roraima,Norte
RS,Rio Grande do Sul,Sul
SC,Santa Catarina,Sul
SE,Sergipe,Nordeste
SP,São Paulo,Sudeste
TO,Tocantins,Norte
