id_loja,nome_fantasia,endereco,id_cidade,id_categoria_loja,id_rede
1,Cassiano,"Avenida de Barbosa, 115",34,1,2
2,Andrade Borges - ME,"Feira Borges, 260",244,1,4
3,Pires Pires - EI,Trecho de Gonçalves,167,1,13
4,Câmara S/A,"Lago Leão, 28",265,1,13
5,Novais,"Estação de Caldeira, 693",212,1,8
6,Novaes e Filhos,Avenida de Pinto,182,1,14
7,Monteiro Rodrigues - EI,"Quadra Maria Fonseca, 33",170,1,11
8,Barros Oliveira Ltda.,"Loteamento Manuela da Paz, 911",124,2,9
9,Cavalcante,"Distrito Mariana Leão, 2",151,3,12
10,Fernandes,"Trevo Maysa Pacheco, 21",179,1,13
11,Melo,"Campo de Araújo, 89",24,1,11
12,Silva,"Morro de Almeida, 35",6,2,15
13,Monteiro S/A,"Conjunto Thales Gonçalves, 27",263,1,14
14,Machado Guerra - EI,"Praça Novaes, 66",67,1,5
15,da Conceição,"Estação Cassiano, 13",235,1,6
16,Pastor,"Lago Anthony Casa Grande, 68",113,1,5
17,Cardoso,"Vale de Rezende, 8",43,1,12
18,Gonçalves,"Colônia Maria Luísa Porto, 40",83,1,12
19,Costela - ME,"Loteamento Peixoto, 2",103,1,13
20,Nunes S.A.,"Núcleo Pimenta, 2",211,1,8
21,Pimenta Garcia S.A.,"Morro Emanuella Melo, 2",205,2,14
22,Martins,"Lagoa Enzo Gabriel Casa Grande, 6",260,2,14
23,Mendes,"Esplanada de Moreira, 4",54,1,15
24,Casa Grande,"Alameda de Teixeira, 541",101,1,10
25,Cavalcante,"Setor Nogueira, 453",51,3,15
26,Guerra Sousa S.A.,"Residencial de Fogaça, 1",230,1,4
27,Melo,"Vila Pereira, 67",44,2,9
28,Barros,"Fazenda Melo, 45",217,1,7
29,Pinto,"Recanto Rezende, 21",111,1,8
30,Viana,"Recanto Cavalcanti, 25",54,2,12
31,Martins,"Chácara de Silveira, 32",243,1,11
32,Cassiano - EI,"Distrito de Pimenta, 375",200,2,13
33,Almeida Albuquerque e Filhos,"Rua Souza, 46",119,1,6
34,Alves da Cunha S.A.,"Feira de Teixeira, 954",60,1,10
35,Cardoso,Morro de Marques,228,1,5
36,Montenegro,"Distrito de Moura, 307",151,3,10
37,Vasconcelos S.A.,"Recanto Pinto, 9",64,1,4
38,Duarte e Filhos,"Sítio de Mendes, 9",222,2,12
39,da Cruz S.A.,"Colônia Montenegro, 18",208,2,11
40,Macedo Ltda.,"Trevo de Moraes, 84",46,1,8
41,Montenegro,"Rua de da Luz, 337",137,2,4
42,Campos,"Largo Diogo Rios, 26",102,3,4
43,Rios da Rosa S/A,"Via Ribeiro, 52",80,1,13
44,Martins Câmara e Filhos,Residencial Luan Rios,25,1,11
45,Castro Santos - ME,"Loteamento Laura Costa, 25",5,2,5
46,Almeida,"Quadra de Macedo, 7",256,2,2
47,Moreira,"Rodovia Davi Lucas Camargo, 21",95,2,8
48,da Mata,Ladeira Sá,208,1,14
49,Lima Rocha Ltda.,"Setor Moraes, 275",28,1,15
50,Araújo,"Estação de Lima, 5",15,1,15
51,Porto S/A,"Chácara Pedro Miguel Azevedo, 81",99,1,9
52,Fernandes - EI,"Vale José Pedro Aparecida, 331",265,1,1
53,Aragão,"Lagoa Pires, 48",33,3,13
54,Machado,"Estação de da Mata, 50",250,3,8
55,Albuquerque S/A,"Sítio de Correia, 873",59,2,4
56,Ribeiro e Filhos,"Residencial de Nogueira, 58",103,1,15
57,da Conceição Fernandes S.A.,"Vereda de Carvalho, 15",214,2,1
58,Albuquerque Barbosa e Filhos,"Praça Luan Araújo, 7",62,3,1
59,Peixoto,"Lago de Aparecida, 32",76,2,3
60,Machado,Núcleo Bella Novaes,170,3,13
61,da Cruz,Favela Eduarda Cirino,31,1,15
62,Farias - ME,Ladeira Milena Rezende,127,1,6
63,da Cruz Montenegro S/A,Chácara João Pedro Guerra,68,1,15
64,Gonçalves S/A,"Vereda Ravi Lucca Barros, 782",97,1,2
65,Silveira,"Lago Silveira, 920",90,1,8
66,Siqueira,"Conjunto de Moura, 490",57,1,2
67,Alves S/A,"Núcleo de Caldeira, 97",265,2,9
68,Pires S/A,"Viela de da Cruz, 14",234,1,3
69,Azevedo,"Setor de Borges, 517",86,1,3
70,da Luz S.A.,"Fazenda Sousa, 77",108,3,9
71,Mendes e Filhos,"Vale Pires, 31",166,1,1
72,da Cunha,"Vila de da Rosa, 192",135,2,6
73,Araújo,"Viela Gael Henrique Sales, 57",25,2,9
74,Martins,"Condomínio Ísis Costa, 81",267,1,3
75,da Rocha - ME,Praia de da Mata,134,2,7
76,Costela,"Trecho Borges, 58",157,1,7
77,Cardoso,"Rodovia de da Mota, 6",100,1,6
78,Monteiro Mendonça - ME,Aeroporto Mendonça,109,2,2
