id_produto,categoria_loja,giro_semanal_un,must_have
1,VAREJO,14.4,False
1,ATACADO,43.2,False
1,ATACAREJO,36.0,False
2,VAREJO,12.0,True
2,ATACADO,36.0,True
2,ATACAREJO,30.0,True
3,VAREJO,8.4,False
3,ATACADO,25.2,False
3,ATACAREJO,21.0,False
4,VAREJO,6.0,False
4,ATACADO,18.0,False
4,ATACAREJO,15.0,False
5,VAREJO,5.0,False
5,ATACADO,15.0,False
5,ATACAREJO,12.5,False
6,VAREJO,3.5,False
6,ATACADO,10.5,False
6,ATACAREJO,8.8,False
7,VAREJO,28.8,True
7,ATACADO,86.4,True
7,ATACAREJO,72.0,True
8,VAREJO,24.0,True
8,ATACADO,72.0,True
8,ATACAREJO,60.0,True
9,VAREJO,16.8,True
9,ATACADO,50.4,True
9,ATACAREJO,42.0,True
10,VAREJO,6.0,False
10,ATACADO,18.0,False
10,ATACAREJO,15.0,False
11,VAREJO,5.0,False
11,ATACADO,15.0,False
11,ATACAREJO,12.5,False
12,VAREJO,3.5,False
12,ATACADO,10.5,False
12,ATACAREJO,8.8,False
13,VAREJO,28.8,True
13,ATACADO,86.4,True
13,ATACAREJO,72.0,True
14,VAREJO,24.0,True
14,ATACADO,72.0,True
14,ATACAREJO,60.0,True
15,VAREJO,16.8,True
15,ATACADO,50.4,True
15,ATACAREJO,42.0,True
16,VAREJO,28.8,True
16,ATACADO,86.4,True
16,ATACAREJO,72.0,True
17,VAREJO,24.0,True
17,ATACADO,72.0,True
17,ATACAREJO,60.0,True
18,VAREJO,16.8,True
18,ATACADO,50.4,True
18,ATACAREJO,42.0,True
19,VAREJO,6.0,False
19,ATACADO,18.0,False
19,ATACAREJO,15.0,False
20,VAREJO,5.0,False
20,ATACADO,15.0,False
20,ATACAREJO,12.5,False
21,VAREJO,3.5,False
21,ATACADO,10.5,False
21,ATACAREJO,8.8,False
22,VAREJO,28.8,True
22,ATACADO,86.4,True
22,ATACAREJO,72.0,True
23,VAREJO,24.0,True
23,ATACADO,72.0,True
23,ATACAREJO,60.0,True
24,VAREJO,16.8,True
24,ATACADO,50.4,True
24,ATACAREJO,42.0,True
25,VAREJO,6.0,False
25,ATACADO,18.0,False
25,ATACAREJO,15.0,False
26,VAREJO,5.0,False
26,ATACADO,15.0,False
26,ATACAREJO,12.5,False
27,VAREJO,3.5,False
27,ATACADO,10.5,False
27,ATACAREJO,8.8,False
